state,abbr,pop2010,med_income,homeownership,smoke,coal,murder,Obama,Romney,Total,party
Alabama,AL,4779736,42081,71.1,24.8,56.6,8.2,795696,1255925,2074338,Rep
Alaska,AK,710231,66521,64.7,25,9.5,4.8,122640,164676,300495,Rep
Arizona,AZ,6392017,50448,67.4,20.4,39.6,7.5,1025232,1233654,2299254,Rep
Arkansas,AR,2915918,39267,67.7,23.5,48.2,6.7,394409,647744,1069468,Rep
California,CA,37253956,60883,57.4,15.2,1.1,6.9,7854285,4839958,13038547,Dem
Colorado,CO,5029196,56456,67.6,19.9,71.7,3.7,1323101,1185243,2569520,Dem
Connecticut,CT,3574097,67740,69.2,16.5,11.9,2.9,905083,634892,1558960,Dem
Delaware,DE,897934,57599,73.6,20.7,59.4,4.4,242584,165484,413921,Dem
District of Columbia,DC,601723,58526,43.5,20.1,0,35.4,267070,21381,293764,Dem
Florida,FL,18801310,47661,69.7,21.6,28.4,5,4237756,4163447,8474179,Dem
Georgia,GA,9687653,49347,67.2,22.2,63.8,6.2,1773827,2078688,3900050,Rep
Hawaii,HI,1360301,66420,59.3,17.1,14.2,1.9,306658,121015,434697,Dem
Idaho,ID,1567582,46423,71,17.9,0.9,2.4,212787,420911,652274,Rep
Illinois,IL,12830632,55735,69.2,19.9,47.5,6,3019512,2135216,5242014,Dem
Indiana,IN,6483802,47697,71.5,27.3,94.2,5.7,1152887,1420543,2624534,Rep
Iowa,IA,3046355,48872,73.2,20.4,77.6,1.3,822544,730617,1582180,Dem
Kansas,KS,2853118,49424,69.4,17.8,75.2,NA,440726,692634,1159971,Rep
Kentucky,KY,4339367,41576,69.9,28.7,91.1,NA,679370,1087190,1797212,Rep
Louisiana,LA,4533372,43445,68.2,22.6,24.9,9.9,809141,1152262,1994065,Rep
Maine,ME,1328361,46933,73.1,20.9,1.7,1.4,401306,292276,713180,Dem
Maryland,MD,5773552,70647,69,19,55.7,9.9,1677844,971869,2707327,Dem
Massachusetts,MA,6547629,64509,64,18.1,25.3,2.7,1921290,1188314,3167767,Dem
Michigan,MI,9883640,48432,74.2,22.1,57.8,6.1,2564569,2115256,4730961,Dem
Minnesota,MN,5303925,57243,74.2,20,62.1,2.2,1546167,1320225,2936561,Dem
Mississippi,MS,2967297,37881,70.8,23.7,36.9,7.3,562949,710746,1285584,Rep
Missouri,MO,5988927,46262,70,23.4,85.3,6.9,1223796,1482440,2757323,Rep
Montana,MT,989415,43872,69,19.2,63.8,NA,201839,267928,484048,Rep
Nebraska,NE,1826341,49342,68.6,21.3,66.2,2.5,302081,475064,794379,Rep
Nevada,NV,2700551,55726,60.1,23.1,45.7,8.5,531373,463567,1014918,Dem
New Hampshire,NH,1316470,63277,72.6,20.5,17.2,1.4,369561,329918,710972,Dem
New Jersey,NJ,8791894,69811,66.9,18.1,19.2,4.8,2125101,1477568,3640292,Dem
New Mexico,NM,2059179,43820,69.6,21.5,85.2,7.4,415335,335788,783758,Dem
New York,NY,19378102,55603,55.2,20.5,14,4.5,4477020,2488531,7070325,Dem
North Carolina,NC,9535483,45570,68.1,22.7,60.5,6.7,2178391,2270395,4505372,Rep
North Dakota,ND,672591,46781,66.6,20,94.8,1.1,124966,188320,322932,Rep
Ohio,OH,11536504,47358,69.2,22.3,87.2,5.1,2827710,2661433,5580840,Dem
Oklahoma,OK,3751351,42979,68.2,25.1,53,5.3,443547,891325,1334872,Rep
Oregon,OR,3831074,49260,63.8,18.5,7,2.2,970488,754175,1789270,Dem
Pennsylvania,PA,12702379,50398,71,23.7,55.5,6.1,2990274,2680434,5753670,Dem
Rhode Island,RI,1052567,54902,62.5,19.8,0,3.2,279677,157204,446049,Dem
South Carolina,SC,4625364,43939,69.9,22.6,38.7,7.4,865941,1071645,1964118,Rep
South Dakota,SD,814180,46369,68.9,19.8,46,2.3,145039,210610,363815,Rep
Tennessee,TN,6346105,43314,69.6,26.8,61,7.2,960709,1462330,2458577,Rep
Texas,TX,25145561,49646,64.8,20,37.4,6.2,3308124,4569843,7993851,Rep
Utah,UT,2763885,56330,71.2,11.5,94.2,2.3,251813,740600,1017440,Rep
Vermont,VT,625741,51841,71.4,19.3,0,1.3,199239,92698,299290,Dem
Virginia,VA,8001024,61406,68.9,20.6,44.9,6.1,1971820,1822522,3854490,Dem
Washington,WA,6724540,57244,64.8,17.6,10.3,3.3,1755396,1290670,3125516,Dem
West Virginia,WV,1852994,38380,74.6,26.6,97.6,4.4,238269,417655,670438,Rep
Wisconsin,WI,5686986,51598,69.5,20.8,67.4,3.5,1620985,1407966,3068434,Dem
Wyoming,WY,563626,53802,70.2,21.3,95.1,2.7,69286,170962,249061,Rep
